Prompt,Target
"Write a job description for AI Scientist role proposed by ""Paige."", a company founded on 2018.0 that has now a size of 1 to 50 employees and works on Enterprise Software & Network Solutions industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $111K-$181K ","Paige is a software company helping pathologists and clinicians make faster, more informed diagnostic and treatment decisions by mining decades of data from the world's experts in cancer care. We are leading a digital transformation in pathology by leveraging advanced Artificial Intelligence (AI) technology to create value for the oncology clinical team.

Paige is the first company to develop clinical grade AI tools for the pathologist, which resulted in our receiving FDA breakthrough designation for our first product.

We're looking for AI Scientists to join us. In this role you'll be part of a team of world-leading experts in machine learning, computer vision and pathology.

In this role you'll conduct publishable deep learning research using some of the largest digital pathology datasets in the world. You'll be working to save lives by improving the accuracy of cancer detection, classification, and treatment outcome.

Recent graduates and PhD candidates who will defend soon are welcome to apply!

Key Responsibilities:
Work with our AI Scientists and Engineers to develop and assess deep neural network models
Author top-tier journal and conference papers on your research at Paige
Attend conferences to present your work.
Requirements:
Highly motivated
PhD degree in computer science or related field
Publication record in venues such as CVPR, ICCV, NeurIPS, TPAMI, ICLR IJCV, MICCAI, etc.
Expertise in deep learning, especially for computer vision
Strong Python coding skills
Computer vision expertise
Knowledge of deep learning toolboxes
You are authorized to work in the United States"
"Write a job description for Quantitative Researcher role proposed by ""Jane Street."", a company founded on 2000.0 that has now a size of 501 to 1000 employees and works on Investment Banking & Asset Management industry in the Finance sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $111K-$181K ","About the Position


At Jane Street, we consider trading and programming to be two ends of a continuum. As both a trading firm and a tech firm, we have room for people who love to trade, people who love to program, and people everywhere in between. Nearly all of our traders write code, and many of our developers trade. The role you carve out for yourself will be largely dependent on your strengths and the types of problems you enjoy thinking about.

Researchers at Jane Street are responsible for building models, strategies, and systems that price and trade a variety of financial instruments. As a mix of the trading and software developer roles, this work involves many things: analyzing large datasets, building and testing models, creating new trading strategies, and writing the code that implements them.

About You
Be able to apply logical and mathematical thinking to all kinds of problems. Asking great questions is more important than knowing all the answers.
Write great code. We mostly write in OCaml, so you should want to learn functional programming if you don't already have experience with it.
Have good taste in research.The problems we work on rarely have clean, definitive answers. You should be comfortable pushing in new and unknown directions while maintaining clarity of purpose.
Think and communicate precisely and openly. We believe great solutions come from the interaction between diverse groups of people across the firm."
"Write a job description for VP, Data Science role proposed by ""Park Data."", a company founded on 2012.0 that has now a size of 51 to 200 employees and works on Research & Development industry in the Business Services sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $111K-$181K ","We are looking for a VP, Data Science to lead all of our Data science and R&D efforts to discover the information hidden in vast amounts of data, and help us build incredible data products. You will be joining other extremely passionate data science, product folks and engineers that share a common interest in distributed systems, performance, scale, and solving problems with software and data. Our technologies power the insights for financial service and corporate giants.

Compensation package includes highly competitive salary, bonus, equity interest and the valuable business experiences, challenges and excitement of a fast growing technology startup company.

Responsibilities
Lead, nurture and grow a very talented data science team
Lead discovery processes with stakeholders to identify the product requirements and the expected outcome
Manage multiple projects in parallel and oversee their completion from start to finish, setting goals and project milestones
Conceptualize and plan leading-edge analytic and quantitative tools and modeling techniques to help 7Park Data’ clients gain insights and improve decision-making
Review internal and external analytical techniques, identify what data is available and relevant and source the necessary data
Collaborate with the Engineering team to deploy solutions to production
Make strategic recommendations to technology, product, and senior management
Be the voice of data science internally and represent 7Park externally
Requirements
Master’s Degree from top tier university in Computer Science, Statistics, Mathematics, Economics or similar quantitative discipline. PhD preferred
Minimum 8+ Years of relevant professional experience with a proven track record of leveraging analytics and large amounts of data to drive significant business impact
Extensive experience with data exploration, data cleaning, implementation of advanced statistical and machine learning algorithms (e.g., time-series analysis and forecasting, clustering, and advanced classification and regression techniques such as decision trees, neural networks, deep learning, and ensemble algorithms), as well as rigorous model validation and evaluation
Excellent interpersonal and leadership skills with the ability to develop and guide team members to deliver actionable results
Fluency in R or Python
Modeling/mining large data sets using Apache Spark, Databricks"
"Write a job description for Quantitative Researcher – Intern (US) role proposed by ""Citadel Securities."", a company founded on 2002.0 that has now a size of 201 to 500 employees and works on Brokerage Services industry in the Finance sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Chicago, IL. The salary estimate is $111K-$181K ","Job Description

Quantitative Researchers at Citadel Securities apply advanced statistical techniques to complex data sets to model markets, test hypotheses, and create proprietary trading algorithms. As markets continuously evolve, Quantitative Researchers keep Citadel Securities at the forefront of the industry by constantly adapting models and strategies to identify market opportunities around the globe.

As an intern, you’ll get to challenge the impossible in research through an 11 week program that will allow you to collaborate and connect with senior team members and our CEO Peng Zhao. In addition, you’ll get the opportunity to network and socialize with peers at iconic venues.


Your Objectives:

Conceptualize valuation strategies, develop and continuously improve upon mathematical models, and help translate algorithms into code
Back test and implement trading models and signals in an active, live trading environment
Use unconventional data sources to drive innovation
Conduct research and statistical analysis to build and refine monetization systems for trading signals

Your Skills & Talents:


Advanced training in Mathematics, Statistics, Physics, Computer Science, or another highly quantitative field (Bachelors, Masters, PhD degree)
Strong knowledge of probability and statistics (e.g. machine learning, time-series analysis, pattern recognition, NLP)
Background working in a data driven research environment
Experience with NoSQL databases (e.g. MongoDB), distributed computing (e.g. MapReduce), and analytical packages (e.g. R, Matlab)
Independent research experience
Excellent analytical skills, with strong attention to detail
Strong written and verbal communications skills
Opportunities available in Chicago, New York, London, Hong Kong

About Citadel Securities


Citadel Securities is a leading global market maker across a broad array of fixed income and equity securities. Our world-class capabilities position us to meet the liquidity demands of our diverse group of institutional clients in all market conditions. In partnering with us, our clients, including asset managers, banks, broker-dealers, hedge funds, government agencies and public pension programs are able to gain a powerful trading advantage and are better positioned to meet their investment goals.

The team makes its mark every day from our offices around the world: Chicago, New York, London, Hong Kong, Toronto, Shanghai, Sydney, Dublin."
"Write a job description for Senior Data Engineer (Healthcare Domain experience required) role proposed by ""Enterprise Integration."", a company founded on 1998.0 that has now a size of 51 to 200 employees and works on IT Services industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Jacksonville, FL. The salary estimate is $111K-$181K ","Key Responsibilities

- Architect, build, and maintain efficient data pipelines, utilizing a variety of data access technologies (REST APIs, FTP, SQL, S3)

- Work with analytics team to help with automating reporting needs leveraging various solutions like REST APIs or BI tools

- End-to-end development, starting from requirements gathering with stakeholders to deployment to production systems

- Lead greenfield development of innovative applications, analysis, and systems

- Contribute to development of a rapidly growing, integrated datawarehouse that will provide a complete vision of the entire healthcare landscape

- Work with large, alternative datasets (100s of millions of data points) to extract insights and proactively monitor trends

Minimum Qualifications

· Advanced SQL Knowledge

· Proficient in object-oriented development (C#, Java, etc)

· Proficient in creating REST Web Services using C#/Python/Node

· Experience working with large data sets (50+ million rows)

· Ability to architect end-to-end ETL pipelines

· Comfortable writing unit/integration tests, implementing logging/monitoring, and maintaining reliability of internal processes

· Familiarity with software development best practices: Dependency Injection, ORMs, Test-Driven Development, Modular design, etc.

Preferred Skills

· Architect-level experience with development using Cloud tools (ideally Azure)

· Experience with distributed datastores such as Databricks, Spark/Hadoop, Snowflake NoSql, etc.

· Web development in a full-stack capacity (ideally Angular)

· Business Intelligence Experience (Power BI, Tableau, etc.)

· Experience working with EMR or Claims data

Benefits

· Top-of-the-line, company sponsored healthcare insurance

· Unlimited meals

· Full-floor, state-of-the-art gym only for employees with showers, protein shakes, etc

· Always-stocked kitchens/resource rooms

· Monthly happy hours

· Great work-life balance

· Data driven culture at all levels of the firm"
"Write a job description for Data Scientist role proposed by ""WITHIN."", a company founded on 2015.0 that has now a size of 51 to 200 employees and works on Advertising & Marketing industry in the Business Services sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $111K-$181K ","Job Description
What does WITHIN do?

We are Performance Branding experts. WITHIN works with some of the coolest brands and hottest startups, including Nike, AB InBev, Spanx and Shake Shack. We leverage digital channels and inspiring creative to fuel clients' growth using data every step of the way to drive our decision making.

What you will build as a Data Scientist at WITHIN...
You will cross-functionally collaborate with the Performance and Creative teams to understand our business then build machine-learning models to uncover trends and optimize performance
You will build scalable clustering, customer lifetime value, and churn models to help clients maximize long-term profitability
You will build and maintain data pipelines internal and external teams rely on for making key decisions
You will build and improve our underlying data infrastructure (we currently use Fivetran, GCP/BigQuery, and dbt as our analytics stack)
Requirements

You might be a fit for this role if...
You have professional SQL experience and understand the benefits of columnar storage
You have familiarity with git and the command line
You know how to write object-oriented Python
You have experience building machine learning models for both structured (decision-trees, linear regression, etc) and unstructured data (Computer Vision, NLP)
You understand the benefits of dbt for data transformations
You have the desire to learn Microservice Architecture (Docker and Kubernetes)
You are naturally curious and embrace failure as you learn new technologies
You have an obsession with accuracy
You have excellent listening and collaboration skills
Benefits

We offer competitive salary and benefits based on ability level including:
Competitive salary dependent on experience
Unlimited vacation policy
Anniversary vacation bonus
401k with match
Fully paid health insurance premiums
Monthly transportation and phone stipends
In-house massages, manicures, and haircuts
Daily lunch
Fully stocked kitchen
Dog-friendly office"
"Write a job description for Data Scientist role proposed by ""Datadog."", a company founded on 2010.0 that has now a size of 1001 to 5000 employees and works on Computer Hardware & Software industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $111K-$181K ","About Datadog:We're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. We operate at high scale-trillions of data points per day-providing always-on alerting, metrics visualization, logs, and application tracing for tens of thousands of companies. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way. The opportunity:You will have a fantastic team of data engineers to support you, a collaborative environment to encourage your work, and the best technologies for performing data science at high scale in your toolkit. You will:* Present the latest academic research papers to your team.* Research and benchmark the latest algorithms that can be used for our particular use-cases.* Apply machine learning algorithms and statistical techniques to build new product features.* Deploy a new feature to production, instantly affecting customers with your work.* Mentor other data scientists on your team.* Explore and find meaning in extremely high volumes of data.* Investigate and fix a production issue from a service your team owns. Requirements:* You have 2 + years professional experience* You are fluent with SQL / relational algebra.* You have mastered working with data in a language such as Python, R, or Julia.* You've done data science at high scale with tools like Hadoop and Spark.* You have backend programming experience in one or more languages.* You have significant experience applying machine learning to real business problems.* You want to work in a fast, high-growth startup environment and thrive on autonomy.* You care about code simplicity and performance.* You have a BS/MS/PhD in a scientific field or equivalent experience.* You can explain complex ideas and algorithms in understandable ways. Bonus points:* You've written production data pipelines.* You're familiar with time series analysis."
"Write a job description for Data Scientist role proposed by ""Caserta."", a company founded on 2001.0 that has now a size of 51 to 200 employees and works on IT Services industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $120K-$140K ","Caserta is a best-in-class Data Analytics consulting and implementation firm known for its bold solutions to the toughest data challenges. Leading organizations including world-class Financial Services, Healthcare, Media, Ad-tech and Universities, turn to Caserta for the right answer to effect change and realize business goals. We specialize in transformative strategic consulting in the areas of business intelligence, data intelligence, and artificial intelligence. Renowned for our advanced technical implementation of data architecture, data engineering, and data science, Caserta provides meticulous customer service and is dedicated to solving our clients' toughest data challenges with the right answers.Experience & Qualifications:* Experience building complex Data Pipelines, Algorithms and Models with the latest technology stacks:? Python, R, Scala, PySpark? AWS, S3, EC2, EMR? Hadoop, Hive, MapR, Spark? AWS, Google Cloud(GCP), Azure* Experience developing commercial data science solutions leveraging one or more of the following: operations research, Natural Language Processing(NLP), Machine Learning(ML), Deep Learning, video/image/text analysis, or time-series analysis.* Experience with Structured and Unstructured Data* Experience building recommendation engines - Multi-Algorithm/Multi-ModelDisciplines:? NumPy, Pandas, SciPy, Scikit-learn? TensorFlow, Keras, Neural Networks, Deep Learning, NLP, Text Analytics"
"Write a job description for Data Science Analyst role proposed by ""GNY Insurance Companies."", a company founded on 1914.0 that has now a size of 201 to 500 employees and works on Insurance Carriers industry in the Insurance sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $120K-$140K ","Data Science Analyst

Job Details
Level
Experienced
Job Location
New York (Home Office) - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
None
Job Shift
Undisclosed
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast. We are currently looking for a dynamic and highly motivated Data Science Analyst for our New York office.

The purpose of this job is to assist in developing and maintaining advanced analytics tools by utilizing machine learning and predictive analytics techniques. It results in pricing enhancement, early fraud detection, loss control efficiency, customer experience improvement, better broker selection, and better claims reserving.

Responsibilities
Score GL and Property renewal policies using underwriting score models - monthly
Analyze loss control data and narrow down inspection questionnaires from hundreds to top 20-30s - daily
Add sold rate and rate adequacy to New Business Score Engine - daily
Develop a machine learning-based model for setting individual claims reserving - daily
Support requests from other departments (e.g., actuarial, underwriting) - weekly
Qualifications
Have obtained a Bachelor's or Master degree from an accredited institution preferably in Data Science, Statistics, Applied Mathematics or Computer Science
2 - 4 years of experience in machine learning, predictive analytics, and data mining
3+ years experience with programming (e.g., R, Python, SQL)"
"Write a job description for Quantitative Researcher / Quantitative Research Analyst role proposed by ""Citadel Securities."", a company founded on 2002.0 that has now a size of 201 to 500 employees and works on Brokerage Services industry in the Finance sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Chicago, IL. The salary estimate is $120K-$140K ","Job Description

Role Summary

At Citadel Securities, a leading global market maker, our team of quantitative researchers models the markets and brings trading strategies to life every day. Specifically, this team develops and tests automated quant trading strategies using sophisticated statistical techniques. We’re looking for an extraordinary quantitative researcher who is committed to our core values that include winning, acting with integrity, continuously learning, and cultivating a meritocracy.

Depending on your background and expertise, opportunities are available in Chicago, New York, London, Dublin, Zurich, Hong Kong or Sydney

Objectives
Conduct research and statistical analyses in the evaluation of securities
Work with large data sets, including unconventional data sources, to predict and test statistical market patterns
Conceptualize valuation strategies, develop and continuously improve mathematical models, and translate algorithms into code
Back test and implement trading models and signals in a live trading environment
Skills and Preferred Qualifications
Advanced training in mathematics, statistics, physics, computer science, or another highly quantitative field
Proficiency in probability & statistics (e.g. time-series analysis, machine learning, pattern recognition, NLP)
Prior experience working in a data driven research environment
Hands on programming experience in scripting (e.g. Python), analytical packages (e.g. R, Matlab) and/or compiled languages (e.g. C++)
A background demonstrating strong analytical problem solving skills
An ability to communicate advanced concepts in a concise and logical way
Proficiency in creating and using algorithms to meticulously investigate and work through large data or error-checking problems
About Citadel Securities


Citadel Securities is a leading global market maker across a broad array of fixed income and equity securities. Our world-class capabilities position us to meet the liquidity demands of our diverse group of institutional clients in all market conditions. In partnering with us, our clients, including asset managers, banks, broker-dealers, hedge funds, government agencies and public pension programs are able to gain a powerful trading advantage and are better positioned to meet their investment goals.

The team makes its mark every day from our offices around the world: Chicago, New York, London, Hong Kong, Toronto, Shanghai, Sydney, Dublin."
"Write a job description for Data Scientist/Lead Data Scientist role proposed by ""BlueLabs."", a company founded on 2019.0 that has now a size of 1 to 50 employees and works on Research & Development industry in the Business Services sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Washington, DC. The salary estimate is $120K-$140K ","Lead Data Scientist

Data Scientists and Lead Data Scientists use a combination of statistics, programming, and domain knowledge to solve problems, ranging from customized solutions for specific clients to creating the methodological backbone for our general purpose products. They have strong technical skills and are also creative thinkers who are always looking to innovate and deliver value to our clients. They aren’t afraid of messy data, and are comfortable working in a fast paced, production-oriented environment.

What you'll do:
Analyzes data, as well as contributes to the design, implementation, and delivery of analytics products and services.
Builds predictive models, tools, and data visualizations.
Oversees and/or leads research development project and data science project plans for clients and internal initiatives.
Strives to support team excellence by documenting processes and evangelizing new approaches.
Preferred Experience & Background:
At least 4 years working in a quantitative production environment or a postgraduate degree in a quantitative field.
Advanced understanding of a statistical programming language such as R, Python, or Julia.
Experience building predictive models using regression and machine learning techniques.
Ability to manipulate data with SQL.
Proven experience creating analytics output within a production-oriented team.
Ability to effectively communicate technical concepts to a non-technical audience, both in writing and verbally.
Publications, working papers, or conference presentations in a quantitative field.
Experience managing diverse, multi-disciplinary teams and mentoring staff.
Knowledge of experimental design and causal inference.
Ability to create user interfaces for new products using frameworks such as Shiny or Django.
Experience with GIS.
Experience creating informative and engaging data visualizations using industry leading tools.
This position is available in DC, NY, & LA

At BlueLabs, we celebrate, support and thrive on differences. Not only do they benefit our services, products, and community, but most importantly, they are to the benefit of our team. Qualified people of all races, ethnicities, ages, sex, genders, sexual orientations, national origins, gender identities, marital status, religions, veterans statuses, and disabilities are strongly encouraged to apply. As an equal opportunity workplace and an affirmative action employer, BlueLabs is committed to creating an inclusive environment for all employees."
"Write a job description for Quantitative Research Analyst role proposed by ""Tower Research Capital."", a company founded on 1998.0 that has now a size of 501 to 1000 employees and works on Financial Analytics & Research industry in the Finance sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $120K-$140K ","Please Note: this role is for experienced candidates only. Quantitative Research & Trading roles for campus candidates can be found by using the On-Campus Recruiting filter on our Careers Page.

--

Tower Research Capital, a high-frequency proprietary trading firm founded in 1998, seeks experienced Quantitative Research Analysts.

As a member of one of Tower's trading teams, a Quantitative Research Analyst will be using Tower's in-house trading system—one of the fastest and most comprehensive in the world—to develop and deploy algorithmic trading strategies based on patterns in market behavior.

Responsibilities
Designing, implementing, and deploying high-frequency trading algorithms
Exploring trading ideas by analyzing market data and market micro-structure for patterns
Creating tools to analyze data for patterns
Contributing to libraries of analytical computations to support market data analysis and trading
Developing, augmenting, and calibrating exchange simulators
Qualifications
A PhD from a top-tier university
1-3 years of research experience in high-frequency trading
A strong background in mathematics and statistics
Proficiency in back-testing, simulation, and statistical techniques (auto-regression, auto-correlation, and Principal Component Analysis)
Solid data-mining and analysis skills, including experience dealing with a large amount of data/tick data
Familiarity with signal generation and statistical models
Strong programming skills in C++, MATLAB, and R
Benefits

Tower is headquartered in New York City, and has offices around the globe. While we work hard, Tower's cubicle-free workplace, jeans-clad workforce, and well-stocked kitchens reflect the premium the firm places on quality of life. Benefits include:
Competitive salary and performance-based bonuses
5 weeks of paid vacation plus paid holidays
Free breakfast, lunch, and snacks on a daily basis
Reimbursement for health and wellness expenses
Tower Research Capital is an equal opportunity employer."
"Write a job description for Data Scientist role proposed by ""CompIQ"", a company founded on 2015.0 that has now a size of 1 to 50 employees and works on Enterprise Software & Network Solutions industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $120K-$140K ","YOUR ROLE

CompIQ is building a future where predicting your career path and potential earnings is easy and fun. To do this, we use artificial intelligence and machine learning to help companies and industry professionals make informed decisions in their career. To solve such a large problem, we’ve put together an incredible team and are selectively adding to it.

You will play a mission-critical role in helping advance the intelligence machine that powers CompIQ's products.

You will have the opportunity to constantly learn new things, take on responsibilities and help propel a successful startup to even further success. Companies and consumers alike will rely heavily on what you build! If challenges excite you, and you are ready for a large one, let us know.

SKILLS AND EXPERIENCE

4+ years of experience or 2+ years of experience if you hold a graduate degree in a relevant field (statistics, mathematics, (astro)physics, computer science, etc) of hands on data science using Python including:

• Data wrangling: acquire, clean, analyze and present data

• Text mining and Natural Language Processing including regular expressions, packages TM, NLTK, etc.

• Machine Learning: clustering, regression/classification

• Statistics

DESIRED SKILLS/EXPERIENCES

Experience with databases, APIs, web scraping, financial modelling, economics, software engineering standards (git, collaboration and project management software, software development lifecycle understanding, general computer science principles), science background

Located in or willing to relocate to New York City"
"Write a job description for Data Scientist / Engineer role proposed by ""Snappy."", a company founded on 2015.0 that has now a size of 1 to 50 employees and works on Internet industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in New York, NY. The salary estimate is $119K-$147K ","Snappy is a gifting platform that helps more than 600 mid-size to enterprise level companies over the U.S. sending the gift of choice to their recipients, all over the world - employees, leads, prospects, clients and users.
We built a joyful experience, delivered through email or text message, allowing a recipient to virtually unwrap their gift and choose their favorite product from one of our offered collections.
We’re building an innovation and data exploration team that will help leveraging our so-far collected data to deliver better experience to our clients and help improve inner-business KPIs.

What will you be doing?

• Explore our data to extract new insights and trends
• Build and analyze hypotheses on our data
• Build algorithms to deliver better experience to our clients
• Work closely with Product Managers and R&D to put your work into production
‍
Qualification
‍
• 2 or more years prior industry experience as a data scientist and/or engineer
• Strong communication skills
• Strong, production-level Python experience
• An open mind and the ability to challenge yourself to learn new tools and approaches, independently and as part of a team
• A strong interest in understanding and working with eCommerce data
• Familiarity with big data processing pipelines, databases, and archives
• Familiarity with cloud computing, specifically with AWS or GCP, as well as high-performance computing, including process optimization
• Familiarity with Scrum/Agile project management methodologies

Advantage
‍
• Experience with eCommerce and/or HRIS systems data
• Experience with MQL / SQLAn advanced degree in Computer Science, Applied Math, or a similar technical field
• Knowledge in the machine-learning domain
• Front End development experience

If huge tables of data lights you up and pair-plotting makes you smile, we will add Cashious, Walnuts, all sort of dried fruits and other nuts, High Quality Tested chocolate, fresh music with warm environment and nice people - all to make it much more fun to put the pieces of data together and deliver better experience to our clients."
"Write a job description for Applied Data Scientist role proposed by ""Aptus Health."", a company founded on 2008.0 that has now a size of 201 to 500 employees and works on Advertising & Marketing industry in the Business Services sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Reading, MA. The salary estimate is $119K-$147K ","Title: APPLIED DATA SCIENTIST, Tomorrow Networks

Location: New York Office

Tomorrow Networks is the leading provider of location-based, data-driven mobile advertising solutions for health and lifestyle brands.

We gather data from multiple sources, including government, prescribing and insurance activity, social media, campaign data and other location-based insights to better understand market trends and deliver measurable mobile advertising campaigns.

Our team is a nimble, smart and inquisitive group who is looking to grow with the addition of a self-motivated, curious and driven candidate to join us as a data science developer.

Key responsibilities will include:

Building and developing data products
Raw data analysis and processing
Building statistical and machine learning models
Collaboration with the rest of the data and engineering team
Youll be working with a team of data scientists, developers and engineers to bring new products to market, including front-end developers and data engineers.

Skills/Experience:

Bachelors/Masters degree in computer science or a related field with a focus on machine learning, data science, data visualization
1-2+ years of experience in similar roles
Strong fundamental knowledge in data structures and coding
Experience coding in Python, R and familiarity with C++
Proficiency with data visualization/mapping software (e.g. D3.js, Tableau)
Experience with state of the art big data technologies
Strong communication and visualization skills, to leverage the data to tell a story"
"Write a job description for Data Scientist role proposed by ""ApTask."", a company founded on 2010.0 that has now a size of 201 to 500 employees and works on IT Services industry in the Information Technology sector. The job proposed is in New York, NY meanwhile the headquarter of the company is in Iselin, NJ. The salary estimate is $119K-$147K ","We are building a new kind of financial company. You would be leading a team of data engineers responsible for data acquisition from multiple vendors, transforming it, and making it usable across the entire organization. You will work closely with research and operations in order to ensure they have access to the information they need. You will have a major influence on the design of the systems and processes. You will work with the latest cloud-based technologies. Responsibilities Lead major initiatives successfully Implement the hardest parts of the system Play a critical role in technical direction for the team Produce high-quality work and improve others by thoughtful code reviews Influence engineering culture Lead and coordinate releases across multiple teams Provide high-quality feedback on teammates and collaborators from other teams Help with recruiting of senior engineers Preferred Qualifications B.S. in Computer Science 5+ years of experience Working knowledge of big data, streaming and queuing tools Strong oral and written communication Bonus Qualifications Knowledge of Airflow and Python"
